"Cluster","calories","protein","fat","sodium","fiber","carbo","sugars","potass","vitamins","shelf","weight","cups","rating","mfrA","mfrG","mfrK","mfrN","mfrP","mfrQ","mfrR","typeC","typeH"
"1",-1.50596307819298,0.58499970297399,-0.709443043436794,-1.02099721398846,1.81388498334175,-0.48117765491435,-1.10627912681191,1.38144581547259,-0.662425161533823,-0.259854206624944,-0.359132683022851,-0.758391391084423,2.03393380333142,-0.116247638743819,-0.646033797381892,-0.053856965055675,2.55907367735381,-0.369581434315141,-0.321038552699646,-0.321038552699646,0.116247638743819,-0.116247638743819
"2",-0.642077281400107,-0.211748358745187,0.709443043436794,-0.68443548245554,-0.426187292967869,-0.811553240659666,-0.221432971739774,-0.412363754855186,-0.662425161533823,0.426903339455266,-1.13201037718065,0.102210848388052,-0.0417665830587403,-0.116247638743819,-0.646033797381892,-0.666997797997206,-0.267365906589204,-0.369581434315141,3.07279757583947,-0.321038552699646,0.116247638743819,-0.116247638743819
"3",0.116222473562524,-0.508315692829547,0.0662146840541007,-0.0164898921825206,-0.44387207409663,-0.315989862041692,0.55635772259524,-0.425800530662885,-0.181842201205363,-0.259854206624944,-0.0748130172202233,0.0397868831305412,-0.563924877846462,-0.116247638743819,0.657779866425199,-0.0231999234085984,-0.267365906589204,-0.0657033661004694,-0.321038552699646,-0.321038552699646,0.116247638743819,-0.116247638743819
"4",0.20581063026697,0.348926203205345,-0.220715613513669,0.679550452318175,-0.232964684338823,1.01163054734227,-0.62380128505447,-0.284714384682049,0.752624666099976,-0.126318017109348,-0.0921950055225674,0.572915829132387,0.127164344231327,-0.116247638743819,-0.283863335213256,0.286776831022953,-0.267365906589204,-0.369581434315141,-0.321038552699646,0.9987866083989,0.116247638743819,-0.116247638743819
"5",0.745375664964201,0.452208359354127,0.180585501965729,0.196587418503587,0.790311287707452,-0.000631348375707696,0.434008624609957,1.01498829344445,0.123983319003657,0.832714616684481,1.32206676998633,-0.697234637831258,-0.0186915955531107,-0.116247638743819,-0.448486272562636,0.113363262110197,-0.267365906589204,1.28793530140125,-0.321038552699646,-0.321038552699646,0.116247638743819,-0.116247638743819
"6",-0.354115349135817,1.38174776469317,0,-1.96164410468302,-0.897781456401474,0.326407110240868,-0.942418727724478,-0.049570808047321,-0.181842201205363,-0.259854206624944,-0.200832432412218,0.75675339671923,0.889225148405389,8.48607762829881,-0.646033797381892,-0.666997797997206,-0.267365906589204,-0.369581434315141,-0.321038552699646,-0.321038552699646,-8.48607762829881,8.48607762829881
