"Cluster","fuel_received_units","fuel_mmbtu_per_unit","fuel_cost_per_mmbtu","fuel_received_mmbtu","total_fuel_cost","sulfur_content_pct","ash_content_pct"
1,295009.290494522,2.16575192802618,8.6817744353801,309092.425891379,1352732.44981193,0.0324725561899646,0
2,3319236.11303191,1.02754157603263,4.42588211249243,3400167.55028258,14458331.9186336,0,0
3,177.75,1.00474998354912,1566.01132202148,178.553991317749,288688.610839844,0,0
4,432668.937728938,21.0023200555599,2.33719335327218,8770355.71611722,20234505.6446886,1.50776776070997,8.92948487564758
5,104123.387605042,20.3699774491687,2.41799610208313,1982933.17137496,4432248.05801279,1.10667784484651,9.29287505951248
