"Cluster","Market_Cap","Beta","PE_Ratio","ROE","ROA","Asset_Turnover","Leverage","Rev_Growth","Net_Profit_Margin"
1,97.1136363636364,0.433636363636364,20.9545454545455,35.7,14.9545454545455,0.8,0.325454545454545,10.1645454545455,20.1727272727273
2,14.243,0.627,30.42,14.9,5.63,0.59,0.872,16.898,10.77
